"Category","Name","Description","Examples"
"Cognitive Engagement","Simple Problem-Solving","The story presents a small problem and pauses, prompting the child to think of a solution before the character does.","""The ball rolled under the sofa. It was too far to reach. 'Hmm,' the kitten thought. 'How can I get it?'"""
"Cognitive Engagement","Making Choices","The character faces a simple choice, inviting the child to consider the options and form a preference.","""He saw a red apple and a yellow banana. 'Which snack should I choose?' he wondered aloud."""
"Cognitive Engagement","Prediction","The story creates a moment of suspense that prompts the child to guess what will happen next.","""She heard a quiet scratching at the door. Scratch, scratch, scratch. Who could it be?"""
"Emotional Engagement","Relatability","The story centers on a core preschool experience, allowing the child to connect with the character's feelings.","""It was his first day at school. His tummy felt wobbly and he held Mama's hand very tight."""
"Emotional Engagement","Empowerment","A small character attempts a challenging task, letting the child feel the effort and eventual pride.","""She stood on her tiptoes and reached for the book. 'I can... almost... get it!'"""
"Emotional Engagement","Empathy Prompts","The story shows a character noticing another's feelings, modeling perspective-taking for the child.","""The little bear saw his friend sitting alone. He looked sad. The bear went over to sit with him."""
"Interactive Engagement","Repetition & Refrains","A catchy phrase is repeated, encouraging the child to join in and become a co-teller of the story.","""And every time he jumped, he shouted, 'Boing, boing, boing!'"""
"Interactive Engagement","Direct Questions","The narrator directly asks the child to observe, count, or identify something in the story's world.","""Look at all the butterflies! Can you find the blue one? How many are there?"""
"Interactive Engagement","Sound Participation","The text includes distinct sounds, inviting the child and reader to perform them together.","""The rain started to fall. First, a little pitter-patter. Then a loud RUMBLE of thunder."""
"Narrative Engagement","The Build-Up","The story layers sensory details to create anticipation for a happy or exciting reveal.","""He smelled something sweet. He saw candles glowing. He heard his friends whisper, 'Surprise!'"""
"Narrative Engagement","The Gentle Chase","The story initiates a playful game, creating excitement through safe, interactive action.","""'I'm the big, friendly monster!' Papa roared softly. 'And I'm coming to give you a cuddle!'"""
"Narrative Engagement","Journey with a Goal","The story sets up a simple journey, engaging the child in following the character toward a destination.","""They packed their basket and put on their boots. 'We're going on an adventure to find the big waterfall!'"""
"Wonder and Awe","Scale","Contrasting the child's world with something immense or minuscule.","""""""Under a big burdock leaf, there was a city. Ants lived there. They had tiny little streets and houses made of blades of grass."""""""
"Wonder and Awe","Transformation","Simple, visual transformations that feel like magic.","""""""The caterpillar built itself a little house. It fell asleep. And it woke up as a butterfly with beautiful wings."""""""
"Wonder and Awe","Gentle Magic","Introducing fantastical elements that are comforting, not scary.","""""""Every night, a little star came down from the sky. It would sit on the windowsill and tell the little fox stories about dreams."""""""
"Wonder and Awe","Sensory Discovery","Describing a common phenomenon with rich, simple sensory details that make it feel new.","""""""The first snow began to fall. The snowflakes quietly fell to the ground. They were cold and melted on a warm palm."""""""
"Narrative Engagement","The Reveal","The moment a surprise is unveiled, a hidden object is found, or a secret is shared.","""""""Everyone closed their eyes. And when they opened them, a big cake was on the table. Candles were burning on it."""""""
