Name,Description,Usage Examples
Guided Discovery / Scaffolding,"An adult helps the child think through the problem with questions and prompts, breaking it down so the child can find the solution.","""What do you see here?"" ""What if you tried...?"" ""How did that feel when you pushed it?"" ""What else could work?"""
"Trial, Error, & Reflection","Child-led. The child tries an idea, observes the result, thinks simply about why it did or didn't work, then tries a different approach.","""That didn't work. The tower fell down."" ""Maybe if I put the big block on the bottom..."" ""This time I'll try going slower."""
Collaborative Brainstorming,"The child and others (peers, family) share ideas and build on suggestions together to solve the problem.","""What if we..."" ""I have an idea!"" ""Or we could try..."" ""Yes! And then we could..."" ""Papa, what do you think?"""
Observational Learning & Adaptation,The child watches someone else solve a similar problem and adapts that method for their own situation.,"""I saw Mama do it like this."" ""Anton climbed up that way. Maybe I can too."" ""Oh! Like when Papa fixed the chair!"""
Remembering & Applying Past Solution,The child recalls how they solved a similar problem before and uses that same method again.,"""I remember! Last time I..."" ""This is like when I couldn't reach the cookies."" ""I did this before with my blocks."""
Creative Re-framing / Resourcefulness,"Child looks at available objects/situation with fresh eyes, makes unexpected connections, has ""aha"" moment of seeing new possibility.","""Wait... this stick could be..."" ""What if this box was a boat instead?"" ""I can use my sweater like a blanket for my doll!"""
Need Recognition & Information/Tool Seeking,The child realizes they need a specific tool or information - this is the discovery moment. (The actual asking/finding is execution.),"""I need something long."" ""I don't know how to do this. I should ask."" ""There must be something that can help me reach."""
Simple Sequential Planning,Child independently thinks through 2-3 basic steps before acting (distinct from guided discovery by being self-initiated).,"""First I'll get the stool. Then I'll climb up. Then I'll get the book."" ""I need to put on my boots, then go outside."""
Story/Narrative-Based Discovery,"Child draws on stories, fairy tales, or narratives they know to find solution approaches.","""Like in the story where the mouse was clever..."" ""The princess in my book did..."" ""I remember the bear who..."" ""What would my favorite character do?"""
Environmental Scanning,"Child systematically looks around their environment for clues, patterns, or resources that might inspire solutions (beyond just tool-seeking).","""Let me look around and see..."" ""What else is here that might help?"" ""I see how the trees bend..."" ""Look how the water flows around the rock."""
Perspective-Taking Discovery,"Child imagines how someone else would approach the problem or what they would need/want, generating new solution ideas.","""What would Granny do?"" ""How would my little sister reach this?"" ""If I were the toy, what would I want?"" ""Maybe from over there it looks different."""
Analogical Thinking,"Child connects current problem to different domains or experiences, not just similar past problems. Creates bridges between unlike things.","""This is like when I stack dishes!"" ""Building friends is like planting seeds."" ""The blocks are fighting like in my story."" ""It's like making soup - I need to mix things."""
Body/Feeling-Based Discovery,"Child pays attention to physical sensations or emotional ""gut feelings"" to guide solution discovery. Different from trial-error because it's about internal sensing rather than external testing.","""This feels right in my tummy."" ""My body is saying 'yes' to this idea."" ""Something feels off about that way."" ""I have a feeling this will work."""
