"Category","Name","Description","Examples"
"Adorable Effort","The Puffed Cheeks","A small character trying to blow, puff, or be fierce with comically inflated cheeks. The humor is in the visual of their tiny body producing such a big, cute effort.","""To blow out the candle, his cheeks puffed up like two big red apples.""; ""He tried to scare the frog by puffing his cheeks for a mighty roar, but only a little 'poof' came out.""; ""She puffed and puffed to blow a bubble, her face turning all red."""
"Adorable Effort","The All-Body Wiggle","A character putting their entire body into a small, focused action. The effort is so total and earnest that their whole body wiggles, shakes, or squirms.","""To pull the carrot from the ground, the bunny pulled so hard his ears wiggled and his little tail shook.""; ""He tried to put on his sock, wiggling his whole body to get it over his toes.""; ""She drew a circle with such concentration that her tongue stuck out and her feet wiggled."""
"Adorable Effort","The Puffed Cheeks","A small character trying to blow, puff, or be fierce with comically inflated cheeks. The humor is in the visual of their tiny body producing such a big, cute effort.","""To blow out the candle, his cheeks puffed up like two big red apples.""; ""He tried to roar like a lion, puffing his cheeks for a tiny 'mew!'"""
"Adorable Effort","The Mighty Lift","A small character attempting to carry something comically large for them, showing immense strain in a cute, wobbly way.","""The kitten tried to carry the big yarn ball, waddling one step before tipping over.""; ""He grunted, trying to lift Papa's single shoe with both hands."""
"Body Awareness","Awkward Grace","The endearing clumsiness that comes from a character trying very hard to be elegant, coordinated, or controlled, but their developing body doesn't quite cooperate.","""He tried to bow like a prince but his head was too heavy, and he tumbled forward into a somersault.""; ""She tried to dance like a ballerina, spinning on one foot, but just ended up as a wobbly, giggling top.""; ""He attempted to pour tea from a toy teapot with his pinky out, but missed the cup entirely."""
"Category","Name","Description","Examples"
"Category","Name","Description","Examples"
"Cognitive Humor","Literal Misunderstanding","A character taking a common idiom or figure of speech literally, highlighting their charmingly concrete way of thinking.","""Mama said, 'Hold your horses.' He looked around for a horse to hold.""; ""Grandpa said, 'I'm all ears.' The girl leaned over to see if his ears had grown bigger.""; ""When Dad said he had 'butterflies in his stomach,' the boy asked if he had eaten them for breakfast."""
"Cognitive Humor","Naive Logic","The character explains something using flawless but incorrect logic that makes perfect sense from their limited perspective.","""'Why is it dark?' asked the bear cub. 'Because the sun went to sleep in its bed behind the mountain.'""; ""He put dirt on his scraped knee. 'I'm planting a scab so it will grow back,' he explained.""; ""'My shadow is following me,' she said. 'I think it's lonely.'"""
"Cognitive Humor","The Grand Discovery","A character encounters a mundane phenomenon for the first time and reacts with the awe and wonder of a world-shattering scientific breakthrough.","""He saw his shadow and whispered, 'Look! A flat friend is stuck to my feet!'""; ""After a spin, she saw the room was still moving. 'The whole world is wobbly!' she gasped.""; ""He spoke into a fan and heard his warbly voice. 'I have captured a robot ghost!'"""
"Cognitive Humor","Creative (but Flawed) Solutions","A character tries to solve a problem with a 'solution' that is creative and well-intentioned but fundamentally misunderstands how things work.","""The flower was drooping, so he put a tiny bandage on its stem to make it feel better.""; ""His drawing wasn't bright enough, so he tried to color the sun with a yellow banana.""; ""To stop the book from closing, he put a piece of cheese on the page as a 'book-stopper.'"""
"Cognitive Humor","Literal Misunderstanding","A character taking a common idiom or figure of speech literally, highlighting their charmingly concrete way of thinking.","""Mama said, 'Hold your horses.' He looked around for a horse to hold.""; ""Grandpa said, 'It's raining cats and dogs.' The boy looked outside for falling animals."""
"Cute Incompetence","The Terrible Hide","The classic humor of a child ""hiding"" in a place where they are completely visible, showing their naive understanding of object permanence.","""The bear hid behind the skinny lamp post; his big, round tummy stuck out on one side.""; ""She covered her own eyes with her hands and shouted, 'You can't see me!'""; ""He hid under the glass table, looking right up at his mom."""
"Cute Incompetence","Grown-Up Mimicry","A child character trying to copy an adult's complex actions with adorable clumsiness and intense seriousness, often using toys as props.","""He put on Papa's big boots. CLOMP, CLOMP, SHUFFLE.""; ""She held the toy phone to her ear and said, 'Hello, this is a very important business call.'""; ""He 'fixed' the chair by tapping it gently with his toy hammer and saying, 'There, all better!'"""
"Cute Incompetence","The Terrible Hide","The classic humor of a child ""hiding"" in a place where they are completely visible, showing their naive understanding of the world.","""The bear hid behind the skinny lamp post; his big, round tummy stuck out.""; ""She covered her own eyes and shouted, 'You can't see me!'"""
"Cute Incompetence","Grown-Up Mimicry","A child character trying to copy an adult's actions (walking in big shoes, ""working"") with adorable clumsiness and seriousness.","""He put on Papa's big boots. CLOMP, CLOMP, SHUFFLE.""; ""She held the toy phone to her ear and said, 'Hello, this is a very important business call.'"""
"Emotional Expression","The Micro-Drama","A character has an immense, theatrical emotional reaction to a very minor, low-stakes event. The humor comes from the disproportionate response.","""A single block fell from his tower. He gasped, put a hand to his forehead, and sighed, 'Oh, the tragedy!'""; ""His crayon broke. He held the two pieces up and declared, 'It is broken... forever.'""; ""He got a drop of jam on his shirt. 'Oh no!' he wailed. 'A terrible stain! What shall I do?'"""
"Exaggerated Motion","The Dramatic Tiptoe","A character trying to be stealthy but being extremely obvious and theatrical about it, lifting their knees high or moving in comical slow motion.","""He tiptoed past the sleeping cat, lifting his knees all the way to his chin with every... single... step.""; ""To be quiet, she walked on the very tips of her toes, wobbling side to side with her arms out like a tightrope walker.""; ""They snuck to the cookie jar in a slow-motion crawl across the kitchen floor."""
"Exaggerated Motion","The Full-Body Shiver","An over-the-top, full-body reaction to a small, mild sensation like a cold drop of water, a tickle, or a surprising sound.","""A single drop of cold water landed on his back. He shivered a giant shiver from the tip of his nose to the end of his tail.""; ""When the feather tickled his foot, he giggled and curled up into a tight little ball.""; ""The tiny bubble went pop! and she jumped back with a surprised little squeak."""
"Exaggerated Motion","The Dramatic Tiptoe","A character trying to be stealthy but being extremely obvious and theatrical about it, lifting their knees high or moving in comical slow motion.","""He tiptoed past the sleeping cat, lifting his knees all the way to his chin with every... single... step.""; ""To be quiet, she walked on the very tips of her toes, wobbling side to side."""
"Expressive Reactions","The Tasting Face","A character's whole face contorting in an exaggerated way after tasting something new, especially something sour, bitter, or bubbly.","""She licked the lemon. Her eyes squeezed shut and her whole face scrunched up.""; ""He took a sip of fizzy water and his nose wrinkled in surprise."""
"Language & Sound","Cute Mispronunciation","A young character saying a word slightly wrong in a way that is common for toddlers, revealing their stage of language development.","""He asked for 'pas-ghetti' for dinner.""; ""She called the helicopter a 'heck-a-lot-er.'"""
"Social Behavior","Serious Formality","A character treats a casual, playful situation with extreme, grown-up seriousness and formal manners, often learned from observing adults.","""He hosted a tea party for his toys, asking, 'Mr. Bear, would you care for another pretend biscuit?'""; ""She answered her toy phone with, 'Good afternoon, Bear residence, Cub speaking. How may I direct your call?'""; ""A butterfly landed on his finger. He looked at it gravely and said, 'A pleasure to make your acquaintance.'"""
"Social Behavior","Fierce Ownership","A character's intense, serious, and sometimes illogical possessiveness over their belongings, especially mundane objects they have claimed as special treasures.","""He held up a shiny rock. 'This is my diamond. It's very, very expensive and you can't touch it.'""; ""She patted a pile of leaves. 'This is my castle. I am the queen of all the leaves.'""; ""He arranged three bottle caps. 'This is my treasure. The red one is gold, and the blue one is magic.'"""
"Social Humor","Innocent Honesty","A character making a blunt but true observation without any malice. The humor comes from the unfiltered truth that adults learn to avoid saying.","""The little fox looked at the king. 'Your crown is very shiny,' he said. 'And your nose is very big.'""; ""She listened to her friend sing a song. 'That was very loud,' she said with a smile.""; ""He looked at Papa's new painting. 'It's very... brown,' he decided."""
"Category","Name","Description","Examples"
"Physical Comedy (Slapstick)","The Harmless Collision","Two or more characters bumping into each other in a silly, bouncy way, always ending in laughter, not tears. The humor is in the sudden, unexpected physical interaction.","""The two penguins weren't looking. They bumped tummies and bounced apart like rubber balls.""; ""He ran around the corner and BONK! Right into Papa's soft belly, which wobbled like jelly.""; ""The squirrels all slid down the branch at once and landed in a big, giggly, tangled pile."""
"Physical Comedy (Slapstick)","The Slippery Slide","A character slipping on something mundane (a banana peel, a wet floor, ice) and sliding uncontrollably into a funny, safe landing. The loss of control is the source of laughter.","""The monkey stepped on the banana peel. Whoosh! He slid all the way across the kitchen floor and into a pile of soft laundry.""; ""He slid on the ice and spun around three times before landing softly in a big snowbank. Only his feet were sticking out.""; ""The floor was wet. His feet went ZIP! and he slid on his bottom right under the table."""
"Surprise & Absurdity","The Wrong Sound Effect","An animal or object making a completely unexpected and nonsensical sound, breaking the child's learned associations in a shocking and funny way.","""The big, tough lion opened its mouth to roar... and a tiny 'squeak' came out.""; ""He knocked on the big wooden door. The door answered, 'Quack!'""; ""The little sheep bounced on the trampoline. Instead of 'Baa!', it went 'Boing! Boing! Boing!'"""
"Surprise & Absurdity","Impossible Scenarios","Presenting a situation or object that is absurdly wrong for its purpose or location, creating a nonsensical visual gag that defies all logic.","""The bear tried to ride his bicycle, but the wheels were square! Bump, bump, bump.""; ""He looked up and saw a fish flying through the sky, wearing tiny goggles and waving a fin.""; ""She opened her lunchbox and found a giggling sandwich that tried to run away."""
"""Naughty"" & Forbidden Fun","The Big Mess","A character making a huge, harmless mess that would be forbidden in real life, but is hilarious in a story. The humor comes from the joy of controlled chaos.","""He jumped in the muddy puddle. SPLAT! Brown mud flew everywhere, even on top of his head.""; ""The flour bag tipped over. POOF! The whole kitchen, and the little bear, turned white like a ghost.""; ""They had a pillow fight until the whole room was filled with fluffy white feathers, like they were inside a cloud."""
