Category,Name,Description,Usage Examples
Calming Our Bodies,Strong Like a Tree,"Stand tall and strong like a big oak tree: hands on hips, chest out, chin up. Hold for a moment.","""Let's be strong trees together!"" ""Stand tall and proud!"" ""Feel how strong your roots are!"""
Calming Our Bodies,Belly Buddy Breathing,"Lie down, place a light stuffed toy on the belly. Breathe slowly, watching the toy rise and fall.","""Let's make your teddy go for a slow ride."" ""Watch teddy go up... and down..."" ""Breathe in... breathe out..."""
Calming Our Bodies,Cooling Breaths,"Pretend to hold hot soup. Breathe in slowly (smelling), then blow out gently (cooling it).","""Mmm, smell the yummy soup!"" ""Now, shhhh, cool it down."" ""In through your nose... out like you're cooling porridge."""
Calming Our Bodies,"Tight Squeeze, Soft Release","Squeeze fists tight, then let go floppy. Squeeze shoulders to ears, then drop. Squeeze legs, then relax.","""Squeeze tight... now soft like noodles!"" ""Fists tight... shoulders up... legs squeeze... and relax everything!"""
Calming Our Bodies,Wiggle Shake-Out,"Shake hands, arms, legs like you're a wet noodle dancing in the wind.","""Shake like noodles in the wind!"" ""Wiggle everything loose!"" ""Shake, shake, shake!"""
Calming Our Bodies,Strong Stomps,"When feeling antsy or angry, stomp feet on the ground a few times.","""Let's stomp like a friendly bear!"" ""Stomp that big energy out!"" ""Boom, boom, boom with our feet!"""
Calming Our Minds,Simple Self-Talk,"Short, simple phrases to say together or whisper to oneself.","""I am safe."" ""I can try."" ""Mama is with me."" ""This feeling will pass."" ""I am brave."""
Calming Our Minds,My Cozy Corner,"Close eyes and imagine a favorite safe, cozy place. Think about what's there.","""Let's think about your warm bed... your fluffy pillow..."" ""Picture your blanket fort..."" ""What do you see in your cozy place?"""
Calming Our Minds,Finger Count Calm,"Slowly count to five, touching one finger at a time.","""One finger... two fingers... let's count together."" ""Touch each finger as we count slowly to five."""
Showing My Feelings,Worry Drawings,"Draw the worry or sad feeling. Can scribble over it, change it, or give it to adult to ""hold.""","""You can draw that feeling."" ""What would your worry look like?"" ""Should we change this picture into something else?"""
Showing My Feelings,Talking About My Feeling,Use words to tell a grown-up about the feeling. Child describes what happened and how they feel.,"""Can you tell me more about that feeling?"" ""I feel scared because..."" ""My tummy hurts when..."" ""I don't like when..."""
Showing My Feelings,My Body's Clues,Notice and talk about how feelings show up in the body.,"""Where do you feel that?"" ""My tummy feels like butterflies."" ""My shoulders feel tight."" ""My chest feels heavy."""
We're a Team!,"My ""I Need Help"" Plan","Find a grown-up or friend, tell them how you feel, ask for help with the problem.","""I need help with this!"" ""Can you help me figure this out?"" ""I don't know what to do."" ""This is too hard for me."""
We're a Team!,Hold-Me-Tight,"Ask for physical comfort - hug, hand-holding, sitting close for reassurance.","""Can you hold me?"" ""I need a squeeze."" ""Let's snuggle."" ""Hold my hand, please."""
We're a Team!,My Special Comfort Item,Hold or be near a special item that helps feel safe and calm.,"""Where's my brave bear?"" ""Your special blanket can help."" ""Let's get your courage stone."""
We're a Team!,"Family ""Help"" Signal","Special quiet signal to show need for support: squeeze parent's hand twice, or touch your own nose if not near parent.","""Two squeezes means 'I need you.'"" ""Touch your nose and I'll come over."" ""I felt your signal - what do you need?"""
We're a Team!,Tell-Me-What's-Happening,Ask grown-up to explain what's going on in new or overwhelming situations.,"""What's happening next?"" ""Now the healer is getting the bandage ready."" ""Let me tell you what we'll do."""
We're a Team!,Let's Practice Together,Act out new situations at home with toys and family members.,"""Let's pretend to visit the market."" ""You be the baker, I'll buy bread."" ""Practice makes it easier!"""
We're a Team!,Look How Others Do It,"Watch another child successfully doing something that seems difficult, then try it yourself.","""Look, Sara is trying the tall ladder!"" ""I can watch how she does it."" ""Other children can do it too."""
