"Goal","Rule","Description","Example"
"Fostering Mindset & Competence","Process Praise instead of Personal Praise","Focus on effort, strategy, and process, not fixed traits.","Instead of writing ""You're so smart,"" write ""You found a very good way to solve that."""
"Fostering Mindset & Competence","Growth Language instead of Fixed Language","Frame abilities as learnable, not innate.","Instead of writing ""She can't do it,"" write ""She hasn't learned how to do it yet."""
"Fostering Mindset & Competence","Specific Feedback instead of Generic Praise","Pinpoint what the child did well to reinforce positive behaviors.","Instead of writing ""Good job,"" write ""You were very patient while you waited your turn."""
"Building Emotional Intelligence","Co-regulation instead of Self-regulation","Show an adult providing a calm presence before introducing coping tools.","Show a parent calmly hugging a child until they are calm, and only then suggest, ""Let's take a deep breath together."""
"Building Emotional Intelligence","Emotion Validation instead of Emotion Dismissal","Treat all feelings as valid and acceptable.","Instead of writing ""Don't be sad,"" write ""It's okay to feel sad. It's disappointing when your tower falls."""
"Building Emotional Intelligence","Clear Labels instead of Vague Emotions","Help build emotional vocabulary by naming specific feelings.","Instead of writing ""He felt bad,"" write ""He felt frustrated and a little bit lonely."""
"Promoting Agency & Problem-Solving","Child Agency instead of Adult Solutions","Show adults as guides who help children think, not as heroes who fix everything.","Instead of writing ""Papa fixed the toy for her,"" write ""Papa helped her figure out how the pieces fit together."""
"Promoting Agency & Problem-Solving","Child Choice instead of Adult Control","Provide opportunities for the character to make simple, meaningful decisions.","Instead of writing ""Mama made him wear his red boots,"" write ""He chose to wear his red boots to jump in puddles."""
"Developing Social Skills & Empathy","Natural Consequences instead of Punishment","Show that outcomes are a direct result of actions.","Instead of writing ""She got in trouble for yelling,"" write ""When she yelled, her friend felt sad and didn't want to play."""
"Developing Social Skills & Empathy","Perspective-Taking instead of Missing Empathy","Explicitly include moments where a character wonders about another's feelings.","Add moments like, ""Liska wondered why her brother was so quiet. Maybe he was feeling tired?"""
"Developing Social Skills & Empathy","Learning Frame instead of Shame Language","Frame mistakes as discoveries, not failures.","Instead of writing ""That was a big mistake,"" write ""She discovered that putting too much water makes the paint runny."""
