Заголовок,Категория,Тезис,Суть тезиса,Группа,Политики,Медиа,Риски и возражения
"""Умный фильтр"", а не ""ковровая бомбардировка""",1. Основные аргументы (Против Закона),"Мы поддерживаем борьбу со злоупотреблениями, но нынешний закон — это «ковровая бомбардировка», бьющая по ценным резидентам. Настоящий контроль — это точечное поощрение интегрированных и отсев остальных.",Основа публичной кампании.,"Широкая общественность, политики.","Центристы (PS, PSD), которые хотят выглядеть прагматичными.","Все ведущие СМИ (Público, Expresso).","Риск быть перевернутым: Правительство может заявить, что 10-летний срок и есть тот самый «умный фильтр», отсеивающий недостаточно преданных стране. Аргумент может прозвучать высокомерно, как будто вы учите их делать свою работу."
"Интеграция — это действия, а не время",1. Основные аргументы (Против Закона),"Интеграция — это язык, налоги и соблюдение законов, а не просто прожитые годы. 10-летний срок с коллапсом AIMA превратится в 15-летний, создавая поколение в неопределенности.",Объяснение нелогичности закона.,"Интегрированные мигранты, общественность.","Левые и либеральные (Livre, BE, IL), апеллирующие к здравому смыслу.",Аналитические и социальные медиа.,"Риск субъективности: Оппоненты могут заявить, что время — это объективный и главный критерий, а «действия» можно симулировать. Могут привести примеры людей, которые прожили 5 лет, но не интегрировались, используя это как доказательство необходимости более длительного срока."
Формальное равенство = фактическое неравенство,1. Основные аргументы (Против Закона),"Применять одинаковые правила к предпринимателю и человеку без занятий — несправедливо. ""Простота"" закона ведет к трагедиям (безгражданство, невозможность планировать семью).",Демонстрация жестокости закона.,"Правозащитники, юристы, ЛГБТ-сообщество.","Левые (BE, Livre, PCP), правозащитные крылья PS. ",Специализирующиеся на правах человека.,"Риск обвинения в элитизме: Аргумент легко представить как требование «особых привилегий» для «ценных» резидентов, что противоречит популистскому лозунгу «один закон для всех». Может вызвать отторжение у широкой публики."
Отток мозгов и капитала,2. Экономические последствия,"Предприниматели и инвесторы переносят компании и капитал. Высококвалифицированные специалисты (IT, врачи) уезжают в Германию, Ирландию. Португалия теряет двигатели экономики.",Создание инфоповодов об экономическом ущербе.,"Бизнес-сообщество, Минфин. ","Партии: Либералы (IL), правые центристы (PSD).","Экономические издания (Jornal de Negócios, Dinheiro Vivo).","Риск восприятия как угрозы: Может быть воспринят не как предупреждение, а как шантаж. Популистский ответ: «Португалия не продается». Требует очень точной подачи, чтобы не вызвать обратную реакцию."
Бюрократический коллапс AIMA,2. Бюрократические последствия,"AIMA уже не справляется. Увеличение срока не решит проблему, а усугубит ее, превратив 10 лет в 15. Это неэффективное использование ресурсов государства.",Критика неэффективности госаппарата.,"Все налогоплательщики, госслужащие.","Оппозиционные партии, критикующие правительство (любые).","Расследователи, политические обозреватели.","Риск перекладывания ответственности: Правительство может согласиться с проблемой, но заявить, что это наследие прошлого, а новый закон — как раз часть решения, а не усугубления проблемы. Аргумент может быть использован для оправдания «жестких мер»."
Гуманитарная ловушка,2. Гуманитарные последствия,"Политэмигранты (особенно из Беларуси) рискуют стать апатридами. ЛГБТ-пары лишаются права на семью. Дети проживут детство без гражданства страны, которую считают домом.",Эмоциональные истории для СМИ.,"Правозащитники, международные организации, широкая публика.","Партии: Левые (BE, Livre), гуманистическое крыло PS. ","Социальные журналисты, международные СМИ.",Риск быть проигнорированным: Для прагматичных или правых политиков гуманитарные аргументы могут иметь низкий приоритет по сравнению с вопросами безопасности и национального суверенитета. Могут быть названы «эмоциональными» и нерелевантными.
"""Поправка о Доказанной Интеграции""",3. Конструктивное предложение,"Сохранить 5-летний срок для тех, кто подтвердит интеграцию 4 документами: CIPLE, IRS, справка об отсутствии долгов, справка о несудимости.",Предмет закрытых переговоров с партиями.,"Политики, юристы в партиях.","Начинать с наиболее прагматичных (PS, PSD). ",-,"Риск политической токсичности: Если предложение станет публичным досрочно, ни одна партия не захочет его «подбирать», чтобы не быть обвиненной в работе «по указке мигрантов». Предложение может быть представлено как попытка создать лазейку для «своих»."
Решение без затрат,3. Конструктивное предложение,"Наше предложение не требует новых процедур или расходов, а использует существующую систему, делая ее эффективнее.",Аргумент для политиков на закрытых встречах.,"Депутаты, отвечающие за бюджет.","Все, особенно центристы и правые, чувствительные к бюджету.",-,"Риск недоверия: Может прозвучать слишком хорошо, чтобы быть правдой. Оппоненты могут заявить, что любая реформа требует ресурсов, а вы просто некомпетентны в оценке затрат на администрирование даже существующих процедур."
Юридическая устойчивость,3. Юридические аргументы,"Наша поправка приводит закон в соответствие с принципами равенства и пропорциональности, снимая риски будущих оспариваний в Конституционном суде.",Аргумент для юристов партий.,Юридические советники партий.,"Все, кто заботится о юридической чистоте законов.",-,"Риск быть оспоренным: Правительственные юристы могут представить собственное заключение о полной конституционности закона, тем самым нивелировав ваш аргумент и выставив вас непрофессионалами."
"""Не торопитесь""",4. Стратегические призывы,"""Закон такого масштаба требует вдумчивого подхода. Поспешные решения навредят репутации и экономике Португалии"".","Публичные заявления, открытые письма.","Политики, общественность.","Любая партия, желающая показать себя рассудительной",все,"Риск быть воспринятым как слабость: Эти призывы могут быть интерпретированы как позиция просящего, а не сильного партнера. В условиях жесткой политической борьбы они могут быть просто проигнорированы как «лирика»."
"""Не рушьте репутацию страны""",4. Стратегические призывы,"""Португалия гордится репутацией открытой и гуманной страны. Давайте сохраним это наследие, а не примем закон, ломающий судьбы"".",Эмоциональный призыв в конце публичных материалов.,"Широкая общественность, диаспора.","Международные СМИ, социальные журналисты.","PS, Livre, BE.","Риск быть воспринятым как слабость: Эти призывы могут быть интерпретированы как позиция просящего, а не сильного партнера. В условиях жесткой политической борьбы они могут быть просто проигнорированы как «лирика»."
Политическая победа для них,4. Позиционирование (для переговоров),"""Принятие поправки позволит Правительству показать мудрый подход: ужесточаем общие правила, но поощряем лучших. Это политика силы и разума"".",Аргумент на закрытых переговорах.,"Лидеры партий, политтехнологи."," Партия власти, ключевые фракции.",-,"Риск неверной оценки: Вы можете неправильно оценить, что именно данная партия считает «победой». Возможно, для них скандал и жесткая позиция важнее, чем имидж «мудрых прагматиков»."
"Стратегия 2: ""Двухуровневое давление"" (Принятый тезис)",6. Внутренняя стратегия,"Этап 1: Публичная кампания по формированию ПРОБЛЕМЫ. Этап 2: Инсайдерские переговоры с предложением РЕШЕНИЯ. Этап 3: Полная публичная мобилизация как план ""Б"".",Наш текущий план действий. Применение: Руководство для всей команды. Четкое разделение задач для PR-группы и переговорщиков. ,,,,"Риск утечки и обвинений в манипуляции: Если стратегия станет достоянием гласности, ее могут представить как циничный план по манипулированию общественным мнением и политиками. Требует высокой координации и ресурсов, провал на одном из этапов может дискредитировать всю кампанию."
"""Вы нам должны"": Прямое сравнение с другими странами ЕС",7. Радикальные и рискованные тезисы,"""Почему в Германии или Бельгии ценят специалистов и дают гражданство за 5 лет, а Португалия идет по пути регресса? Вы проигрываете в конкуренции за таланты"".","Можно использовать очень аккуратно в аналитических статьях, ссылаясь на исследования о конкурентоспособности стран, но не как прямой упрек.",,,,"Риск обвинения в неуважении: Будет воспринято как высокомерное поучение со стороны иностранцев. Ответ будет простым: «Это Португалия, а не Германия». Аргумент контрпродуктивен и вызывает защитную реакцию."
"""Сила данных"": Заказ независимого исследования",8. Проактивные действия,"""MIC заказывает у авторитетного экономического института (например, Nova SBE) исследование о совокупном вкладе интегрированных иммигрантов в ВВП, налоговую систему и рынок труда Португалии"".",Переход от слов к неопровержимым цифрам.,"Политики, экономисты, скептики","се, кто принимает решения на основе данных.",Все ведущие экономические и политические СМИ.,"Риск дискредитации источника: Любое исследование, заказанное вами, может быть объявлено «предвзятым» и «проплаченным». Его результаты будут оспариваться, если они не понравятся оппонентам."
