Name,Description,Usage Examples
Mental Rehearsal,Child imagines doing the action step-by-step before attempting it.,"""Let's think through it first. What will you do? Then what?"" ""Picture yourself climbing up safely."""
Toy/Pretend Practice,"Child acts out the situation with dolls, toys, or in pretend play first.","""Show me with your bear how you'll ask for help."" ""Let's practice with your dolls first."""
Adult Modeling,Adult demonstrates the action or behavior for child to observe.,"""Watch how I do it, then you try."" ""Let me show you one way this might work."""
Guided Walk-Through,"Adult and child do the action together, with adult providing physical or verbal support.","""Let's try it together. I'll help you with the first step."" ""We'll do it side by side."""
Safe Trial Run,Child practices in a low-stakes version of the real situation.,"""Let's practice asking with just family first."" ""Try the small climbing wall before the big one."""
Coping Strategy Rehearsal,Child practices their calming or courage techniques before the main attempt.,"""Let's practice your brave breathing first."" ""Show me your strong tree pose."""
Words Practice,Child rehearses what they'll say in the actual situation.,"""What words will you use to ask?"" ""Let's practice saying 'I need help.'"""
Step-by-Step Breakdown,Child practices each part of a complex task separately before putting it together.,"""First, just practice holding on. Then stepping. Then we'll put it together."""
Peer Practice/Social Learning,"Child practices with other children, learning from peer modeling and shared attempts.","""Let's see how your sister does it."" ""Practice with your friend first."" ""Watch the other children try."""
Movement/Body Practice,Child uses physical movement to encode the learning in their body and muscle memory.,"""Let's practice the climbing motion with our arms."" ""Walk through the movements slowly."" ""Use your whole body to remember."""
Sensory Rehearsal,"Child practices using multiple senses - seeing, hearing, touching - to reinforce learning.","""Feel how rough the bark is."" ""Listen for the sound it makes when it's working."" ""Look at all the colors while you try."""
Error Practice,"Child deliberately practices what might go wrong and how to recover, building resilience.","""What if this doesn't work? Then what?"" ""Let's practice what to do if you slip."" ""Try the wrong way first, then the right way."""
Confidence Building Steps,"Child practices increasingly challenging versions, building success experiences gradually.","""Start with the lowest step, then higher."" ""Practice with big blocks first, then smaller ones."" ""Try the easy version five times first."""
Real Environment Practice,"Child practices in the actual place where they'll need to use the skill, not just safe spaces.","""Let's practice right here where it will happen."" ""Try it in the real kitchen."" ""Practice on the actual playground."""
Different Emotions Practice,"Child practices the skill while feeling various emotions (excitement, nervousness, etc.).","""Now try it when you're excited."" ""Practice when you feel a little worried."" ""See if you can do it when you're happy and when you're nervous."""
Self-Talk Rehearsal,Child practices positive internal dialogue or helpful phrases to use during the real attempt.,"""Practice saying 'I can do this' in your head."" ""What will you tell yourself if it gets hard?"" ""Let's practice your brave words."""
Timing Practice,Child learns when to use different strategies or when to take action versus when to wait.,"""Practice knowing when to ask for help."" ""When is the right time to try?"" ""Practice waiting for the right moment."""
Observation Skills Practice,Child practices noticing important details and cues before taking action.,"""Practice looking for the safe spots first."" ""What should you notice before you start?"" ""Practice watching for the helper's signal."""
Recovery Practice,"Child practices getting back up, trying again, or shifting approaches when something doesn't work.","""Practice what to do if you fall."" ""Let's practice starting over calmly."" ""Practice trying a different way."""
Routine Building Practice,Child practices sequences that will become automatic habits through repetition.,"""Let's practice the whole getting-ready sequence."" ""Practice your before-bed steps."" ""Let's make this into a routine we do the same way each time."""
