Name,Description,Usage Examples
Calm Presence,"Adult stays physically close and emotionally steady, providing stability through their own regulated nervous system.","""Mama sat quietly beside Liska."" ""Papa stayed close while Liska tried again."" ""Nanny waited patiently nearby."""
Physical Contact,"Adult uses gentle touch, holding, or physical closeness to help regulate child's nervous system.","""Come sit on my lap for a minute."" ""Let me rub your back."" ""Would a hug help right now?"""
Intentional Connection,"Adult moves to child's eye level, uses soft voice tone, and offers appropriate gentle touch to create moment of interpersonal attunement and safety.","""Mama knelt down to Liska's level."" ""Papa spoke in his gentlest voice."" ""Nanny sat on the floor and opened her arms."" ""Would you like me to hold your hand?"""
Acknowledges Child's Emotion,"Adult names what they observe about child's emotional state during distress, without trying to change it.","""You look angry."" ""I see you're really upset."" ""That feels big and scary."""
Feeling Validation,Adult acknowledges and accepts the child's emotions without trying to fix or dismiss them.,"""It's okay to feel scared about this."" ""That sounds really frustrating."" ""Big feelings are normal when things are hard."""
Emotional Labeling Support,Adult helps child identify and name their emotions when child is ready to process but can't find the words.,"""It looks like you might be feeling frustrated."" ""I wonder if you're feeling disappointed."" ""That sounds like worry to me."""
Active Listening,"Adult gives full attention with verbal and non-verbal cues, reflecting back what child says.","""Mm-hmm."" ""I hear you saying..."" ""So you felt..."" [nodding, eye contact]"
Gentle Narration,"Adult explains what's happening or what might happen next, reducing uncertainty and fear.","""The doctor is just listening to your heart."" ""Now we'll wash the scrape and put on a bandage."" ""First the water might feel cold, then warm."""
Process Praise,"Adult acknowledges the child's effort, thinking, or persistence rather than just results.","""You kept trying different ways!"" ""I saw you thinking carefully about that."" ""You didn't give up when it got hard."""
Signal Readiness,Adult lets child know they're available and watching for when help is needed.,"""I'm right here if you need me."" ""Just raise your hand if you want help."" ""I'll be listening for your words."""
Choice Offering,Adult provides simple options to give child some control and agency.,"""Would you like to try again or take a break first?"" ""Do you want to hold my hand or your bear?"" ""Should we practice once more or go for it?"""
Confident Reassurance,Adult expresses faith in child's abilities and positive expectations about outcomes.,"""I know you can figure this out."" ""You've done hard things before."" ""This will work out, even if it takes time."""
Gentle Guidance Questions,Adult asks simple questions to help child think without giving direct answers.,"""What do you notice?"" ""What happened when you tried that?"" ""What else might work?"""
Tool/Resource Offering,Adult provides physical items or information the child needs to succeed.,"""Here's a step stool if you need it."" ""I have a bandage when you're ready."" ""Let me get you the right size blocks."""
Safe Space Creation,"Adult removes pressures, distractions, or time constraints to let child work freely.","""We have plenty of time."" ""Let's move somewhere quieter."" ""No one else needs to watch right now."""
Patient Waiting,"Adult gives child time to process, think, or work without rushing them.","""Take your time."" ""No hurry - I'll wait."" ""You can think about it as long as you need."""
Modeling Calm,"Adult demonstrates steady breathing, relaxed posture, and peaceful energy for child to mirror.","""Let's take a slow breath together."" ""I'm going to sit calmly while you work."" ""Watch how I stay relaxed."""
Gentle Reminders,Adult helps child remember their own coping strategies or successful approaches.,"""Remember how you did the breathing last time?"" ""What helped you feel brave before?"" ""You know how to ask for help."""
Partnership Language,"Adult uses ""we"" language to show they're on the same team without taking over.","""We can figure this out together."" ""Let's see what happens."" ""We're both learning about this."""
Success Setup,Adult arranges conditions to make success more likely without doing the work for the child.,"""Let me hold this steady while you try."" ""I'll make sure nothing falls."" ""I can spot you from here."""
Help Availability,"Adult offers to assist when directly asked, but doesn't jump in uninvited.","""I'm here if you want help."" ""Just tell me what kind of help you need."" ""Would you like me to show you, or try together?"""
Celebration Readiness,Adult is prepared to acknowledge and share in child's success when it happens.,"""I saw that big smile!"" ""You did it! How does that feel?"" ""I'm so proud of how you kept trying."""
Memory Scaffolding,Adult helps child recall past successes or strategies they've used before.,"""Remember when you solved the puzzle problem?"" ""This reminds me of when you helped your friend."" ""You've been brave before."""
Transition Bridging,"Adult helps child navigate changes, new situations, or shifts between activities.","""In five minutes we'll clean up."" ""This new place has friendly people too."" ""Let's talk about what will happen next."""
Complexity Breaking,"Adult breaks overwhelming tasks into tiny, manageable pieces the child can handle.","""Just put on one shoe first."" ""Let's just focus on this one block."" ""First, just hold the pencil."""
Mistake Normalizing,"Adult frames errors and failures as normal, expected parts of learning.","""Everyone makes mistakes when learning."" ""That's what practice is for."" ""Mistakes help our brains grow."""
Communication Bridging,"Adult helps child express their needs, feelings, or thoughts when words are hard to find.","""Are you trying to say...?"" ""It sounds like you need..."" ""Let me help you find the words."""
Attention Anchoring,Adult helps child focus and stay present when they're overwhelmed or distracted.,"""Look at my eyes."" ""Feel your feet on the ground."" ""Let's focus on just this one thing."""
Social Navigation Support,"Adult helps child understand social situations, peer dynamics, or group expectations.","""She might be feeling left out too."" ""Let's think about what your friend needs."" ""Groups can be tricky sometimes."""
Independence Scaffolding,"Adult gradually reduces support as child shows readiness, maintaining safety net.","""Try the first part alone, I'll help with the rest."" ""You did that part - want to try more?"" ""I'll watch from here."""
Boundary Holding,"Adult maintains clear, kind limits while still offering emotional support.","""I can't let you hit, and I can see you're upset."" ""The rule stays, and I understand you're angry."" ""I'll keep you safe while you feel big feelings."""
Future Orientation,Adult helps child see beyond the current difficulty to positive possibilities ahead.,"""Tomorrow you'll know more than you do today."" ""This hard part won't last forever."" ""You're growing stronger each time you try."""
Energy Regulation Support,"Adult adjusts their energy to guide child toward balance - calm presence for over-activated children, gentle animation for withdrawn children.","""Papa spoke slowly when Liska felt worried."" ""Mama used a gentle, cheerful voice when Liska felt quiet."" ""Nanny breathed calmly during Liska's big feelings.”"
